t,x,y,yaw
0.0,-6.0004,-1.0,3.1416
0.017,-6.0004,-1.0,3.1416
0.033,-6.0004,-1.0,3.1416
0.05,-6.0005,-1.0,3.1416
0.067,-6.0005,-1.0,3.1416
0.083,-6.0005,-1.0,3.1416
0.1,-6.0005,-1.0,3.1416
0.117,-6.0005,-1.0,3.1416
0.133,-6.0005,-1.0,3.1416
0.15,-6.0006,-1.0,3.1416
0.167,-6.0006,-1.0,3.1416
0.183,-6.0006,-1.0,3.1416
0.2,-6.0006,-1.0,3.1416
0.217,-6.0006,-1.0,3.1416
0.233,-6.0007,-1.0,3.1416
0.25,-6.0007,-1.0,3.1416
0.267,-6.0007,-1.0,3.1416
0.283,-6.0007,-1.0,3.1416
0.3,-6.0007,-1.0,3.1416
0.317,-6.0007,-1.0,3.1416
0.333,-6.0008,-1.0,3.1416
0.35,-6.0008,-1.0,3.1416
0.367,-6.0008,-1.0,3.1416
0.383,-6.0008,-1.0,3.1416
0.4,-6.0008,-1.0,3.1416
0.417,-6.0008,-1.0,3.1416
0.433,-6.0009,-1.0,3.1416
0.45,-6.0009,-1.0,3.1416
0.467,-6.0009,-1.0,3.1416
0.483,-6.0009,-1.0,3.1416
0.5,-6.0009,-1.0,3.1416
0.517,-6.001,-1.0,3.1416
0.533,-6.001,-1.0,3.1416
0.55,-6.001,-1.0,3.1416
0.567,-6.001,-1.0,3.1416
0.583,-6.001,-1.0,3.1416
0.6,-6.001,-1.0,3.1416
0.617,-6.0011,-1.0,3.1416
0.633,-6.0011,-1.0,3.1416
0.65,-6.0011,-1.0,3.1416
0.667,-6.0011,-1.0,3.1416
0.683,-6.0011,-1.0,3.1416
0.7,-6.0012,-1.0,3.1416
0.717,-6.0012,-1.0,3.1416
0.733,-6.0012,-1.0,3.1416
0.75,-6.0012,-1.0,3.1416
0.767,-6.0012,-1.0,3.1416
0.783,-6.0012,-1.0,3.1416
0.8,-6.0013,-1.0,3.1416
0.817,-6.0013,-1.0,3.1416
0.833,-6.0013,-1.0,3.1416
0.85,-6.0013,-1.0,3.1416
0.867,-6.0013,-1.0,3.1416
0.883,-6.0013,-1.0,3.1416
0.9,-6.0014,-1.0,3.1416
0.917,-6.0014,-1.0,3.1416
0.933,-6.0014,-1.0,3.1416
0.95,-6.0014,-1.0,3.1416
0.967,-6.0014,-1.0,3.1416
0.983,-6.0015,-1.0,3.1416
1.0,-6.0015,-1.0,3.1416
1.017,-6.0015,-1.0,3.1416
1.033,-6.0015,-1.0,3.1416
1.05,-6.0015,-1.0,3.1416
1.067,-6.0015,-1.0,3.1416
1.083,-6.0016,-1.0,3.1416
1.1,-6.0016,-1.0,3.1416
1.117,-6.0016,-1.0,3.1416
1.133,-6.0016,-1.0,3.1416
1.15,-6.0016,-1.0,3.1416
1.167,-6.0016,-1.0,3.1416
1.183,-6.0017,-1.0,3.1416
1.2,-6.0017,-1.0,3.1416
1.217,-6.0017,-1.0,3.1416
1.233,-6.0017,-1.0,3.1416
1.25,-6.0017,-1.0,3.1416
1.267,-6.0018,-1.0,3.1416
1.283,-6.0018,-1.0,3.1416
1.3,-6.0018,-1.0,3.1416
1.317,-6.0018,-1.0,3.1416
1.333,-6.0018,-1.0,3.1416
1.35,-6.0018,-1.0,3.1416
1.367,-6.0019,-1.0,3.1416
1.383,-6.0019,-1.0,3.1416
1.4,-6.0019,-1.0,3.1416
1.417,-6.0019,-1.0,3.1416
1.433,-6.0019,-1.0,3.1416
1.45,-6.0019,-1.0,3.1416
1.467,-6.002,-1.0,3.1416
1.483,-6.002,-1.0,3.1416
1.5,-6.002,-1.0,3.1416
1.517,-6.002,-1.0,3.1416
1.533,-6.002,-1.0,3.1416
1.55,-6.0021,-1.0,3.1416
1.567,-6.0021,-1.0,3.1416
1.583,-6.0021,-1.0,3.1416
1.6,-6.0021,-1.0,3.1416
1.617,-6.0021,-1.0,3.1416
1.633,-6.0021,-1.0,3.1416
1.65,-6.0022,-1.0,3.1416
1.667,-6.0022,-1.0,3.1416
1.683,-6.0022,-1.0,3.1416
1.7,-6.0022,-1.0,3.1416
1.717,-6.0022,-1.0,3.1416
1.733,-6.0023,-1.0,3.1416
1.75,-6.0023,-1.0,3.1416
1.767,-6.0023,-1.0,3.1416
1.783,-6.0023,-1.0,3.1416
1.8,-6.0023,-1.0,3.1416
1.817,-6.0023,-1.0,3.1416
1.833,-6.0024,-1.0,3.1416
1.85,-6.0024,-1.0,3.1416
1.867,-6.0024,-1.0,3.1416
1.883,-6.0024,-1.0,3.1416
1.9,-6.0024,-1.0,3.1416
