t,x,y,yaw
0.0,-6.0004,-1.0,3.1416
0.017,-6.0004,-1.0,3.1416
0.033,-6.0004,-1.0,3.1416
0.05,-6.0005,-1.0,3.1416
0.067,-6.001,-1.0,3.1416
0.083,-6.002,-1.0,3.1416
0.1,-6.0036,-1.0,3.1416
0.117,-6.0058,-1.0,3.1416
0.133,-6.0085,-1.0,3.1416
0.15,-6.0118,-1.0,3.1416
0.167,-6.0157,-1.0,3.1415
0.183,-6.0201,-1.0,3.1415
0.2,-6.025,-1.0,3.1415
0.217,-6.0305,-1.0,3.1415
0.233,-6.0366,-1.0,3.1415
0.25,-6.0432,-1.0,3.1415
0.267,-6.0504,-1.0,3.1415
0.283,-6.0581,-1.0,3.1415
0.3,-6.0664,-1.0,3.1415
0.317,-6.0752,-1.0,3.1415
0.333,-6.0846,-1.0,3.1415
0.35,-6.0946,-1.0,3.1415
0.367,-6.1051,-1.0,3.1415
0.383,-6.1161,-1.0,3.1415
0.4,-6.1278,-1.0,3.1414
0.417,-6.1399,-1.0,3.1414
0.433,-6.1527,-1.0,3.1414
0.45,-6.166,-1.0,3.1414
0.467,-6.1798,-1.0,3.1414
0.483,-6.1942,-1.0,3.1414
0.5,-6.2091,-1.0,3.1414
0.517,-6.2246,-1.0,3.1414
0.533,-6.2407,-1.0,3.1413
0.55,-6.2573,-1.0,3.1413
0.567,-6.274,-1.0,3.1413
0.583,-6.2907,-0.9999,3.1413
0.6,-6.3074,-0.9999,3.1413
0.617,-6.3241,-0.9999,3.1413
0.633,-6.3408,-0.9999,3.1413
0.65,-6.3574,-0.9999,3.1413
0.667,-6.3741,-0.9999,3.1413
0.683,-6.3908,-0.9999,3.1412
0.7,-6.4075,-0.9999,3.1412
0.717,-6.4242,-0.9999,3.1412
0.733,-6.4409,-0.9999,3.1412
0.75,-6.4576,-0.9999,3.1412
0.767,-6.4742,-0.9999,3.1412
0.783,-6.4909,-0.9999,3.1412
0.8,-6.5076,-0.9999,3.1412
0.817,-6.5243,-0.9999,3.1412
0.833,-6.541,-0.9999,3.1412
0.85,-6.5577,-0.9999,3.1412
0.867,-6.5744,-0.9998,3.1412
0.883,-6.591,-0.9998,3.1412
0.9,-6.6077,-0.9998,3.1412
0.917,-6.6244,-0.9998,3.1412
0.933,-6.6411,-0.9998,3.1412
0.95,-6.6578,-0.9998,3.1412
0.967,-6.6745,-0.9998,3.1412
0.983,-6.6911,-0.9998,3.1412
1.0,-6.7078,-0.9998,3.1411
1.017,-6.7245,-0.9998,3.1411
1.033,-6.7412,-0.9998,3.1411
1.05,-6.7579,-0.9998,3.1411
1.067,-6.7746,-0.9998,3.1411
1.083,-6.7913,-0.9998,3.1411
1.1,-6.8079,-0.9997,3.1411
1.117,-6.8246,-0.9997,3.1411
1.133,-6.8413,-0.9997,3.1411
1.15,-6.858,-0.9997,3.1411
1.167,-6.8747,-0.9997,3.1411
1.183,-6.8914,-0.9997,3.1411
1.2,-6.9081,-0.9997,3.1411
1.217,-6.9247,-0.9997,3.1411
1.233,-6.9414,-0.9997,3.1411
1.25,-6.9581,-0.9997,3.1411
1.267,-6.9748,-0.9997,3.1411
1.283,-6.9915,-0.9997,3.1411
1.3,-7.0082,-0.9996,3.1411
1.317,-7.0249,-0.9996,3.141
