t,x,y,yaw
0.0,-6.0004,-1.0,3.1416
0.017,-6.0004,-1.0,3.1416
0.033,-6.0004,-1.0,3.1416
0.05,-6.0005,-1.0,3.1411
0.067,-6.0005,-1.0,3.1399
0.083,-6.0005,-1.0,3.138
0.1,-6.0005,-1.0,3.1354
0.117,-6.0005,-1.0,3.1321
0.133,-6.0005,-1.0,3.1281
0.15,-6.0006,-1.0,3.1234
0.167,-6.0006,-1.0,3.118
0.183,-6.0006,-1.0,3.1118
0.2,-6.0006,-1.0,3.1049
0.217,-6.0006,-1.0,3.0973
0.233,-6.0006,-1.0,3.089
0.25,-6.0006,-1.0,3.08
0.267,-6.0007,-1.0,3.0703
0.283,-6.0007,-1.0,3.0599
0.3,-6.0007,-1.0,3.0487
0.317,-6.0007,-1.0,3.0368
0.333,-6.0007,-1.0,3.0242
0.35,-6.0007,-1.0,3.0108
0.367,-6.0007,-1.0,2.9967
0.383,-6.0007,-1.0,2.9819
0.4,-6.0008,-1.0,2.9663
0.417,-6.0008,-1.0,2.95
0.433,-6.0008,-1.0,2.933
0.45,-6.0008,-0.9999,2.9152
0.467,-6.0008,-0.9999,2.8967
0.483,-6.0008,-0.9999,2.8775
0.5,-6.0008,-0.9999,2.8579
0.517,-6.0007,-0.9999,2.8381
0.533,-6.0007,-1.0,2.8183
0.55,-6.0006,-1.0,2.7984
0.567,-6.0005,-1.0,2.7785
0.583,-6.0005,-1.0,2.7585
0.6,-6.0004,-1.0,2.7386
0.617,-6.0003,-1.0001,2.7187
0.633,-6.0003,-1.0001,2.6988
0.65,-6.0002,-1.0001,2.6788
0.667,-6.0001,-1.0001,2.6589
0.683,-6.0001,-1.0002,2.639
0.7,-6.0,-1.0002,2.6191
0.717,-5.9999,-1.0002,2.5992
0.733,-5.9999,-1.0003,2.5793
0.75,-5.9998,-1.0003,2.5594
0.767,-5.9998,-1.0004,2.5395
0.783,-5.9997,-1.0004,2.5196
0.8,-5.9996,-1.0004,2.4997
0.817,-5.9996,-1.0005,2.4797
0.833,-5.9995,-1.0005,2.4598
0.85,-5.9995,-1.0006,2.4399
0.867,-5.9994,-1.0006,2.42
0.883,-5.9994,-1.0007,2.4001
0.9,-5.9993,-1.0007,2.3802
0.917,-5.9992,-1.0007,2.3603
0.933,-5.9992,-1.0008,2.3404
0.95,-5.9991,-1.0008,2.3205
0.967,-5.9991,-1.0009,2.3006
0.983,-5.999,-1.0009,2.2807
1.0,-5.999,-1.001,2.2608
1.017,-5.9989,-1.0011,2.2409
1.033,-5.9989,-1.0011,2.221
1.05,-5.9989,-1.0012,2.2011
1.067,-5.9988,-1.0012,2.1814
1.083,-5.9988,-1.0013,2.1621
1.1,-5.9987,-1.0013,2.1433
1.117,-5.9987,-1.0014,2.1251
1.133,-5.9987,-1.0014,2.1075
1.15,-5.9987,-1.0015,2.0904
1.167,-5.9986,-1.0015,2.0738
1.183,-5.9986,-1.0016,2.0578
1.2,-5.9986,-1.0016,2.0423
1.217,-5.9987,-1.0013,2.0273
1.233,-5.9991,-1.0005,2.0129
1.25,-5.9997,-0.9992,1.9989
1.267,-6.0005,-0.9974,1.9853
1.283,-6.0015,-0.9951,1.9722
1.3,-6.0027,-0.9922,1.9596
1.317,-6.0041,-0.9888,1.9473
1.333,-6.0056,-0.9848,1.9353
1.35,-6.0073,-0.9803,1.9238
1.367,-6.0091,-0.9752,1.9126
1.383,-6.011,-0.9696,1.9018
1.4,-6.0131,-0.9635,1.8912
1.417,-6.0152,-0.9568,1.881
1.433,-6.0175,-0.9495,1.8712
1.45,-6.0199,-0.9417,1.8616
1.467,-6.0222,-0.9337,1.8522
1.483,-6.0244,-0.9257,1.8431
1.5,-6.0266,-0.9176,1.8342
1.517,-6.0287,-0.9096,1.8256
1.533,-6.0307,-0.9015,1.8172
1.55,-6.0327,-0.8934,1.809
1.567,-6.0346,-0.8853,1.8011
1.583,-6.0365,-0.8772,1.7934
1.6,-6.0382,-0.8691,1.7859
1.617,-6.04,-0.8609,1.7786
1.633,-6.0416,-0.8528,1.7716
1.65,-6.0432,-0.8446,1.7648
1.667,-6.0448,-0.8364,1.7582
1.683,-6.0463,-0.8282,1.7517
1.7,-6.0477,-0.82,1.7455
1.717,-6.0491,-0.8118,1.7395
1.733,-6.0505,-0.8036,1.7336
1.75,-6.0518,-0.7954,1.728
1.767,-6.0531,-0.7871,1.7225
1.783,-6.0543,-0.7789,1.7172
1.8,-6.0555,-0.7706,1.712
1.817,-6.0566,-0.7624,1.707
1.833,-6.0577,-0.7541,1.7021
