t,x,y,yaw
0.0,-6.0004,-1.0,3.1416
0.017,-6.0004,-1.0,3.1416
0.033,-6.0004,-1.0,3.1416
0.05,-6.0005,-1.0,3.1411
0.067,-6.0005,-1.0,3.1399
0.083,-6.0005,-1.0,3.138
0.1,-6.0005,-1.0,3.1354
0.117,-6.0005,-1.0,3.1321
0.133,-6.0005,-1.0,3.1281
0.15,-6.0006,-1.0,3.1234
0.167,-6.0006,-1.0,3.118
0.183,-6.0006,-1.0,3.1118
0.2,-6.0006,-1.0,3.1049
0.217,-6.0006,-1.0,3.0973
0.233,-6.0006,-1.0,3.089
0.25,-6.0006,-1.0,3.08
0.267,-6.0007,-1.0,3.0703
0.283,-6.0007,-1.0,3.0599
0.3,-6.0007,-1.0,3.0487
0.317,-6.0007,-1.0,3.0368
0.333,-6.0007,-1.0,3.0242
0.35,-6.0007,-1.0,3.0108
0.367,-6.0007,-1.0,2.9967
0.383,-6.0007,-1.0,2.9819
0.4,-6.0008,-1.0,2.9663
0.417,-6.0008,-1.0,2.95
0.433,-6.0008,-1.0,2.933
0.45,-6.0008,-0.9999,2.9152
0.467,-6.0008,-0.9999,2.8967
0.483,-6.0008,-0.9999,2.8774
0.5,-6.0008,-0.9999,2.8574
0.517,-6.0007,-0.9999,2.8367
0.533,-6.0007,-0.9999,2.8153
0.55,-6.0006,-1.0,2.7931
0.567,-6.0005,-1.0,2.7702
0.583,-6.0004,-1.0,2.7466
0.6,-6.0003,-1.0,2.7222
0.617,-6.0002,-1.0,2.6972
0.633,-6.0001,-1.0001,2.6715
0.65,-6.0,-1.0001,2.6454
0.667,-5.9999,-1.0002,2.6191
0.683,-5.9998,-1.0002,2.5927
0.7,-5.9997,-1.0003,2.5662
0.717,-5.9996,-1.0004,2.5397
0.733,-5.9995,-1.0004,2.5132
0.75,-5.9995,-1.0005,2.4866
0.767,-5.9994,-1.0006,2.4601
0.783,-5.9993,-1.0006,2.4336
0.8,-5.9992,-1.0007,2.407
0.817,-5.9991,-1.0008,2.3808
0.833,-5.999,-1.0009,2.355
0.85,-5.999,-1.0009,2.3299
0.867,-5.9989,-1.001,2.3054
0.883,-5.9988,-1.0011,2.2817
0.9,-5.9988,-1.0012,2.2587
0.917,-5.9988,-1.0012,2.2364
0.933,-5.9987,-1.0013,2.215
0.95,-5.9987,-1.0014,2.1942
0.967,-5.9986,-1.0014,2.1742
0.983,-5.9986,-1.0015,2.1549
1.0,-5.9986,-1.0015,2.1362
1.017,-5.9986,-1.0016,2.1182
1.033,-5.9985,-1.0016,2.1007
1.05,-5.9985,-1.0017,2.0838
1.067,-5.9985,-1.0017,2.0675
1.083,-5.9985,-1.0018,2.0516
1.1,-5.9986,-1.0015,2.0364
1.117,-5.999,-1.0007,2.0216
1.133,-5.9996,-0.9994,2.0074
1.15,-6.0004,-0.9976,1.9935
1.167,-6.0014,-0.9953,1.9801
1.183,-6.0027,-0.9924,1.9672
1.2,-6.004,-0.989,1.9547
1.217,-6.0056,-0.985,1.9425
1.233,-6.0073,-0.9805,1.9308
1.25,-6.0091,-0.9755,1.9193
1.267,-6.0111,-0.9699,1.9083
1.283,-6.0132,-0.9638,1.8975
1.3,-6.0154,-0.9571,1.8871
1.317,-6.0177,-0.9498,1.8771
1.333,-6.0201,-0.942,1.8673
1.35,-6.0226,-0.9336,1.8578
1.367,-6.0252,-0.9247,1.8486
1.383,-6.0278,-0.9152,1.8396
1.4,-6.0305,-0.9051,1.831
1.417,-6.0332,-0.8945,1.8226
1.433,-6.036,-0.8833,1.8144
1.45,-6.0389,-0.8715,1.8064
1.467,-6.0417,-0.8592,1.7987
1.483,-6.0446,-0.8463,1.7912
1.5,-6.0475,-0.8329,1.784
1.517,-6.0505,-0.8188,1.7769
1.533,-6.0534,-0.8043,1.77
1.55,-6.0563,-0.7895,1.7633
1.567,-6.0591,-0.7748,1.7567
1.583,-6.0618,-0.76,1.7502
1.6,-6.0643,-0.7453,1.744
1.617,-6.0668,-0.7305,1.7379
1.633,-6.0693,-0.7157,1.732
1.65,-6.0716,-0.7009,1.7262
1.667,-6.0738,-0.686,1.7207
1.683,-6.076,-0.6712,1.7153
1.7,-6.0781,-0.6563,1.71
1.717,-6.0801,-0.6415,1.705
1.733,-6.082,-0.6266,1.7
1.75,-6.0839,-0.6117,1.6952
1.767,-6.0857,-0.5968,1.6906
1.783,-6.0874,-0.5819,1.6861
1.8,-6.089,-0.567,1.6817
1.817,-6.0906,-0.552,1.6775
1.833,-6.0922,-0.5371,1.6734
1.85,-6.0937,-0.5222,1.6694
