t,x,y,yaw
0.0,-6.0004,-1.0,3.1416
0.017,-6.0004,-1.0,3.1416
0.033,-6.0004,-1.0,3.1416
0.05,-6.0009,-1.0,3.1416
0.067,-6.002,-1.0,3.1416
0.083,-6.0036,-1.0,3.1416
0.1,-6.0058,-1.0,3.1416
0.117,-6.0085,-1.0,3.1415
0.133,-6.0118,-1.0,3.1415
0.15,-6.0157,-1.0,3.1415
0.167,-6.0201,-1.0,3.1415
0.183,-6.025,-1.0,3.1415
0.2,-6.0305,-1.0,3.1415
0.217,-6.0366,-1.0,3.1415
0.233,-6.0432,-1.0,3.1415
0.25,-6.0504,-1.0,3.1415
0.267,-6.0581,-1.0,3.1415
0.283,-6.0664,-1.0,3.1415
0.3,-6.0752,-1.0,3.1415
0.317,-6.0846,-1.0,3.1415
0.333,-6.0946,-1.0,3.1415
0.35,-6.1051,-1.0,3.1415
0.367,-6.1161,-1.0,3.1414
0.383,-6.1277,-1.0,3.1414
0.4,-6.1399,-1.0,3.1414
0.417,-6.1527,-1.0,3.1414
0.433,-6.1659,-1.0,3.1414
0.45,-6.1793,-1.0,3.1414
0.467,-6.1926,-1.0,3.1414
0.483,-6.206,-1.0,3.1413
0.5,-6.2193,-1.0,3.1413
0.517,-6.2327,-1.0,3.1413
0.533,-6.246,-1.0,3.1413
0.55,-6.2594,-1.0,3.1413
0.567,-6.2727,-1.0,3.1413
0.583,-6.2861,-0.9999,3.1413
0.6,-6.2994,-0.9999,3.1413
0.617,-6.3128,-0.9999,3.1413
0.633,-6.3261,-0.9999,3.1413
0.65,-6.3395,-0.9999,3.1413
0.667,-6.3528,-0.9999,3.1413
0.683,-6.3662,-0.9999,3.1412
0.7,-6.3795,-0.9999,3.1412
0.717,-6.3929,-0.9999,3.1412
0.733,-6.4062,-0.9999,3.1412
0.75,-6.4196,-0.9999,3.1412
0.767,-6.4329,-0.9999,3.1412
0.783,-6.4463,-0.9999,3.1412
0.8,-6.4596,-0.9999,3.1412
0.817,-6.473,-0.9999,3.1412
0.833,-6.4863,-0.9999,3.1412
0.85,-6.4997,-0.9999,3.1412
0.867,-6.513,-0.9999,3.1412
0.883,-6.5264,-0.9999,3.1412
0.9,-6.5397,-0.9999,3.1412
0.917,-6.5531,-0.9999,3.1412
0.933,-6.5664,-0.9998,3.1412
0.95,-6.5798,-0.9998,3.1412
0.967,-6.5931,-0.9998,3.1412
0.983,-6.6065,-0.9998,3.1412
1.0,-6.6198,-0.9998,3.1411
1.017,-6.6332,-0.9998,3.1411
1.033,-6.6465,-0.9998,3.1411
1.05,-6.6599,-0.9998,3.1411
1.067,-6.6732,-0.9998,3.1411
1.083,-6.6866,-0.9998,3.1411
1.1,-6.7,-0.9998,3.1411
1.117,-6.7133,-0.9998,3.1411
1.133,-6.7267,-0.9998,3.1411
1.15,-6.74,-0.9998,3.1411
1.167,-6.7534,-0.9998,3.1411
1.183,-6.7667,-0.9998,3.1411
1.2,-6.7801,-0.9997,3.1411
1.217,-6.7934,-0.9997,3.1411
1.233,-6.8068,-0.9997,3.1411
1.25,-6.8201,-0.9997,3.1411
1.267,-6.8335,-0.9997,3.1411
1.283,-6.8468,-0.9997,3.1411
1.3,-6.8602,-0.9997,3.1411
1.317,-6.8735,-0.9997,3.141
1.333,-6.8869,-0.9997,3.141
1.35,-6.9002,-0.9997,3.141
1.367,-6.9136,-0.9997,3.141
1.383,-6.9269,-0.9997,3.141
1.4,-6.9403,-0.9997,3.141
1.417,-6.9536,-0.9997,3.141
1.433,-6.967,-0.9996,3.141
1.45,-6.9803,-0.9996,3.141
1.467,-6.9937,-0.9996,3.141
1.483,-7.007,-0.9996,3.141
1.5,-7.0204,-0.9996,3.141
1.517,-7.0337,-0.9996,3.141
1.533,-7.0471,-0.9996,3.141
1.55,-7.0604,-0.9996,3.141
1.567,-7.0738,-0.9996,3.141
1.583,-7.0871,-0.9996,3.141
1.6,-7.1005,-0.9996,3.141
1.617,-7.1138,-0.9996,3.141
1.633,-7.1272,-0.9996,3.1409
1.65,-7.1405,-0.9995,3.1409
1.667,-7.1539,-0.9995,3.1409
1.683,-7.1672,-0.9995,3.1409
1.7,-7.1806,-0.9995,3.1409
1.717,-7.1939,-0.9995,3.1409
1.733,-7.2073,-0.9995,3.1409
1.75,-7.2206,-0.9995,3.1409
1.767,-7.234,-0.9995,3.1409
1.783,-7.2473,-0.9995,3.1409
1.8,-7.2607,-0.9995,3.1409
1.817,-7.274,-0.9995,3.1409
1.833,-7.2874,-0.9994,3.1409
1.85,-7.3007,-0.9994,3.1409
